function,year,amount,sheet
Total outlays,1969,183640.0,hist04z1
Legislative Branch,1970,353.0,hist04z1
Judicial Branch,1970,133.0,hist04z1
Department of Agriculture,1970,8412.0,hist04z1
Department of Commerce,1970,778.0,hist04z1
Department of Defense--Military Programs,1970,80123.0,hist04z1
Department of Education,1970,4594.0,hist04z1
Department of Energy,1970,2393.0,hist04z1
Department of Health and Human Services,1970,17397.0,hist04z1
Department of Homeland Security,1970,1089.0,hist04z1
Department of Housing and Urban Development,1970,2432.0,hist04z1
Department of the Interior,1970,1087.0,hist04z1
Department of Justice,1970,537.0,hist04z1
Department of Labor,1970,4976.0,hist04z1
Department of State,1970,661.0,hist04z1
Department of Transportation,1970,6136.0,hist04z1
Department of the Treasury,1970,19070.0,hist04z1
Department of Veterans Affairs,1970,8652.0,hist04z1
Corps of Engineers--Civil Works,1970,1168.0,hist04z1
Other Defense--Civil Programs,1970,2974.0,hist04z1
Environmental Protection Agency,1970,384.0,hist04z1
Executive Office of the President,1970,29.0,hist04z1
General Services Administration,1970,530.0,hist04z1
International Assistance Programs,1970,2655.0,hist04z1
National Aeronautics and Space Administration,1970,3752.0,hist04z1
National Science Foundation,1970,464.0,hist04z1
Office of Personnel Management,1970,2652.0,hist04z1
Small Business Administration,1970,253.0,hist04z1
Social Security Administration (On-Budget),1970,458.0,hist04z1
Social Security Administration (Off-Budget),1970,29812.0,hist04z1
Other Independent Agencies (On-Budget),1970,4263.0,hist04z1
Other Independent Agencies (Off-Budget),1970,0.0,hist04z1
Undistributed Offsetting Receipts,1970,-12567.0,hist04z1
(On-budget),1970,-10362.0,hist04z1
(Off-budget),1970,-2205.0,hist04z1
Total outlays,1970,195649.0,hist04z1
Legislative Branch,1971,395.0,hist04z1
Judicial Branch,1971,145.0,hist04z1
Department of Agriculture,1971,8673.0,hist04z1
Department of Commerce,1971,783.0,hist04z1
Department of Defense--Military Programs,1971,77497.0,hist04z1
Department of Education,1971,5099.0,hist04z1
Department of Energy,1971,2200.0,hist04z1
Department of Health and Human Services,1971,20391.0,hist04z1
Department of Homeland Security,1971,1011.0,hist04z1
Department of Housing and Urban Development,1971,2796.0,hist04z1
Department of the Interior,1971,1345.0,hist04z1
Department of Justice,1971,801.0,hist04z1
Department of Labor,1971,8456.0,hist04z1
Department of State,1971,680.0,hist04z1
Department of Transportation,1971,7039.0,hist04z1
Department of the Treasury,1971,20452.0,hist04z1
Department of Veterans Affairs,1971,9758.0,hist04z1
Corps of Engineers--Civil Works,1971,1337.0,hist04z1
Other Defense--Civil Programs,1971,3510.0,hist04z1
Environmental Protection Agency,1971,701.0,hist04z1
Executive Office of the President,1971,38.0,hist04z1
General Services Administration,1971,546.0,hist04z1
International Assistance Programs,1971,2888.0,hist04z1
National Aeronautics and Space Administration,1971,3382.0,hist04z1
National Science Foundation,1971,522.0,hist04z1
Office of Personnel Management,1971,3167.0,hist04z1
Small Business Administration,1971,333.0,hist04z1
Social Security Administration (On-Budget),1971,465.0,hist04z1
Social Security Administration (Off-Budget),1971,35408.0,hist04z1
Other Independent Agencies (On-Budget),1971,5223.0,hist04z1
Other Independent Agencies (Off-Budget),1971,0.0,hist04z1
Undistributed Offsetting Receipts,1971,-14869.0,hist04z1
(On-budget),1971,-12288.0,hist04z1
(Off-budget),1971,-2582.0,hist04z1
Total outlays,1971,210172.0,hist04z1
Legislative Branch,1972,499.0,hist04z1
Judicial Branch,1972,173.0,hist04z1
Department of Agriculture,1972,11021.0,hist04z1
Department of Commerce,1972,850.0,hist04z1
Department of Defense--Military Programs,1972,77645.0,hist04z1
Department of Education,1972,5537.0,hist04z1
Department of Energy,1972,2299.0,hist04z1
Department of Health and Human Services,1972,25309.0,hist04z1
Department of Homeland Security,1972,1340.0,hist04z1
Department of Housing and Urban Development,1972,3600.0,hist04z1
Department of the Interior,1972,1609.0,hist04z1
Department of Justice,1972,1053.0,hist04z1
Department of Labor,1972,10426.0,hist04z1
Department of State,1972,747.0,hist04z1
Department of Transportation,1972,7244.0,hist04z1
Department of the Treasury,1972,21539.0,hist04z1
Department of Veterans Affairs,1972,10713.0,hist04z1
Corps of Engineers--Civil Works,1972,1490.0,hist04z1
Other Defense--Civil Programs,1972,4002.0,hist04z1
Environmental Protection Agency,1972,763.0,hist04z1
Executive Office of the President,1972,47.0,hist04z1
General Services Administration,1972,655.0,hist04z1
International Assistance Programs,1972,2980.0,hist04z1
National Aeronautics and Space Administration,1972,3423.0,hist04z1
National Science Foundation,1972,567.0,hist04z1
Office of Personnel Management,1972,3776.0,hist04z1
Small Business Administration,1972,452.0,hist04z1
Social Security Administration (On-Budget),1972,538.0,hist04z1
Social Security Administration (Off-Budget),1972,39620.0,hist04z1
Other Independent Agencies (On-Budget),1972,5082.0,hist04z1
Other Independent Agencies (Off-Budget),1972,355.0,hist04z1
Undistributed Offsetting Receipts,1972,-14672.0,hist04z1
(On-budget),1972,-11909.0,hist04z1
(Off-budget),1972,-2763.0,hist04z1
Total outlays,1972,230681.0,hist04z1
Legislative Branch,1973,553.0,hist04z1
Judicial Branch,1973,188.0,hist04z1
Department of Agriculture,1973,10167.0,hist04z1
Department of Commerce,1973,934.0,hist04z1
Department of Defense--Military Programs,1973,75033.0,hist04z1
Department of Education,1973,5709.0,hist04z1
Department of Energy,1973,2304.0,hist04z1
Department of Health and Human Services,1973,25578.0,hist04z1
Department of Homeland Security,1973,1833.0,hist04z1
Department of Housing and Urban Development,1973,3580.0,hist04z1
Department of the Interior,1973,1780.0,hist04z1
Department of Justice,1973,1460.0,hist04z1
Department of Labor,1973,9561.0,hist04z1
Department of State,1973,807.0,hist04z1
Department of Transportation,1973,7834.0,hist04z1
Department of the Treasury,1973,30201.0,hist04z1
Department of Veterans Affairs,1973,11970.0,hist04z1
Corps of Engineers--Civil Works,1973,1676.0,hist04z1
Other Defense--Civil Programs,1973,4505.0,hist04z1
Environmental Protection Agency,1973,1114.0,hist04z1
Executive Office of the President,1973,50.0,hist04z1
General Services Administration,1973,795.0,hist04z1
International Assistance Programs,1973,2317.0,hist04z1
National Aeronautics and Space Administration,1973,3312.0,hist04z1
National Science Foundation,1973,585.0,hist04z1
Office of Personnel Management,1973,4607.0,hist04z1
Small Business Administration,1973,1317.0,hist04z1
Social Security Administration (On-Budget),1973,567.0,hist04z1
Social Security Administration (Off-Budget),1973,48565.0,hist04z1
Other Independent Agencies (On-Budget),1973,5497.0,hist04z1
Other Independent Agencies (Off-Budget),1973,157.0,hist04z1
Undistributed Offsetting Receipts,1973,-18846.0,hist04z1
(On-budget),1973,-15870.0,hist04z1
(Off-budget),1973,-2975.0,hist04z1
Total outlays,1973,245707.0,hist04z1
Legislative Branch,1974,638.0,hist04z1
Judicial Branch,1974,207.0,hist04z1
Department of Agriculture,1974,10302.0,hist04z1
Department of Commerce,1974,992.0,hist04z1
Department of Defense--Military Programs,1974,77864.0,hist04z1
Department of Education,1974,5747.0,hist04z1
Department of Energy,1974,2233.0,hist04z1
Department of Health and Human Services,1974,28062.0,hist04z1
Department of Homeland Security,1974,1661.0,hist04z1
Department of Housing and Urban Development,1974,4781.0,hist04z1
Department of the Interior,1974,1854.0,hist04z1
Department of Justice,1974,1728.0,hist04z1
Department of Labor,1974,9964.0,hist04z1
Department of State,1974,955.0,hist04z1
Department of Transportation,1974,7724.0,hist04z1
Department of the Treasury,1974,35369.0,hist04z1
Department of Veterans Affairs,1974,13339.0,hist04z1
Corps of Engineers--Civil Works,1974,1664.0,hist04z1
Other Defense--Civil Programs,1974,5216.0,hist04z1
Environmental Protection Agency,1974,2030.0,hist04z1
Executive Office of the President,1974,67.0,hist04z1
General Services Administration,1974,929.0,hist04z1
International Assistance Programs,1974,3029.0,hist04z1
National Aeronautics and Space Administration,1974,3255.0,hist04z1
National Science Foundation,1974,647.0,hist04z1
Office of Personnel Management,1974,5708.0,hist04z1
Small Business Administration,1974,753.0,hist04z1
Social Security Administration (On-Budget),1974,2750.0,hist04z1
Social Security Administration (Off-Budget),1974,55373.0,hist04z1
Other Independent Agencies (On-Budget),1974,7076.0,hist04z1
Other Independent Agencies (Off-Budget),1974,773.0,hist04z1
Undistributed Offsetting Receipts,1974,-23333.0,hist04z1
(On-budget),1974,-20048.0,hist04z1
(Off-budget),1974,-3284.0,hist04z1
Total outlays,1974,269359.0,hist04z1
Legislative Branch,1975,739.0,hist04z1
Judicial Branch,1975,284.0,hist04z1
Department of Agriculture,1975,15518.0,hist04z1
Department of Commerce,1975,1077.0,hist04z1
Department of Defense--Military Programs,1975,84852.0,hist04z1
Department of Education,1975,7331.0,hist04z1
Department of Energy,1975,3230.0,hist04z1
Department of Health and Human Services,1975,33751.0,hist04z1
Department of Homeland Security,1975,2099.0,hist04z1
Department of Housing and Urban Development,1975,7512.0,hist04z1
Department of the Interior,1975,2221.0,hist04z1
Department of Justice,1975,1985.0,hist04z1
Department of Labor,1975,18578.0,hist04z1
Department of State,1975,1075.0,hist04z1
Department of Transportation,1975,9144.0,hist04z1
Department of the Treasury,1975,41843.0,hist04z1
Department of Veterans Affairs,1975,16577.0,hist04z1
Corps of Engineers--Civil Works,1975,2031.0,hist04z1
Other Defense--Civil Programs,1975,6319.0,hist04z1
Environmental Protection Agency,1975,2531.0,hist04z1
Executive Office of the President,1975,93.0,hist04z1
General Services Administration,1975,341.0,hist04z1
International Assistance Programs,1975,3665.0,hist04z1
National Aeronautics and Space Administration,1975,3269.0,hist04z1
National Science Foundation,1975,662.0,hist04z1
Office of Personnel Management,1975,7062.0,hist04z1
Small Business Administration,1975,666.0,hist04z1
Social Security Administration (On-Budget),1975,5279.0,hist04z1
Social Security Administration (Off-Budget),1975,64159.0,hist04z1
Other Independent Agencies (On-Budget),1975,8595.0,hist04z1
Other Independent Agencies (Off-Budget),1975,1112.0,hist04z1
Undistributed Offsetting Receipts,1975,-21267.0,hist04z1
(On-budget),1975,-17547.0,hist04z1
(Off-budget),1975,-3719.0,hist04z1
Total outlays,1975,332332.0,hist04z1
Legislative Branch,1976,788.0,hist04z1
Judicial Branch,1976,325.0,hist04z1
Department of Agriculture,1976,17682.0,hist04z1
Department of Commerce,1976,1484.0,hist04z1
Department of Defense--Military Programs,1976,87917.0,hist04z1
Department of Education,1976,7897.0,hist04z1
Department of Energy,1976,3841.0,hist04z1
Department of Health and Human Services,1976,40261.0,hist04z1
Department of Homeland Security,1976,2455.0,hist04z1
Department of Housing and Urban Development,1976,7026.0,hist04z1
Department of the Interior,1976,2433.0,hist04z1
Department of Justice,1976,2140.0,hist04z1
Department of Labor,1976,26524.0,hist04z1
Department of State,1976,1393.0,hist04z1
Department of Transportation,1976,11709.0,hist04z1
Department of the Treasury,1976,43407.0,hist04z1
Department of Veterans Affairs,1976,18416.0,hist04z1
Corps of Engineers--Civil Works,1976,2112.0,hist04z1
Other Defense--Civil Programs,1976,7358.0,hist04z1
Environmental Protection Agency,1976,3118.0,hist04z1
Executive Office of the President,1976,80.0,hist04z1
General Services Administration,1976,-13.0,hist04z1
International Assistance Programs,1976,3742.0,hist04z1
National Aeronautics and Space Administration,1976,3671.0,hist04z1
National Science Foundation,1976,733.0,hist04z1
Office of Personnel Management,1976,8323.0,hist04z1
Small Business Administration,1976,624.0,hist04z1
Social Security Administration (On-Budget),1976,5576.0,hist04z1
Social Security Administration (Off-Budget),1976,73384.0,hist04z1
Other Independent Agencies (On-Budget),1976,8490.0,hist04z1
Other Independent Agencies (Off-Budget),1976,1085.0,hist04z1
Undistributed Offsetting Receipts,1976,-22186.0,hist04z1
(On-budget),1976,-18411.0,hist04z1
(Off-budget),1976,-3775.0,hist04z1
Total outlays,1976,371792.0,hist04z1
Legislative Branch,TQ,226.0,hist04z1
Judicial Branch,TQ,85.0,hist04z1
Department of Agriculture,TQ,5009.0,hist04z1
Department of Commerce,TQ,396.0,hist04z1
Department of Defense--Military Programs,TQ,21807.0,hist04z1
Department of Education,TQ,2035.0,hist04z1
Department of Energy,TQ,1048.0,hist04z1
Department of Health and Human Services,TQ,10530.0,hist04z1
Department of Homeland Security,TQ,648.0,hist04z1
Department of Housing and Urban Development,TQ,1361.0,hist04z1
Department of the Interior,TQ,855.0,hist04z1
Department of Justice,TQ,548.0,hist04z1
Department of Labor,TQ,6109.0,hist04z1
Department of State,TQ,407.0,hist04z1
Department of Transportation,TQ,2902.0,hist04z1
Department of the Treasury,TQ,10272.0,hist04z1
Department of Veterans Affairs,TQ,3959.0,hist04z1
Corps of Engineers--Civil Works,TQ,581.0,hist04z1
Other Defense--Civil Programs,TQ,1958.0,hist04z1
Environmental Protection Agency,TQ,1108.0,hist04z1
Executive Office of the President,TQ,16.0,hist04z1
General Services Administration,TQ,30.0,hist04z1
International Assistance Programs,TQ,1329.0,hist04z1
National Aeronautics and Space Administration,TQ,953.0,hist04z1
National Science Foundation,TQ,207.0,hist04z1
Office of Personnel Management,TQ,2354.0,hist04z1
Small Business Administration,TQ,94.0,hist04z1
Social Security Administration (On-Budget),TQ,1290.0,hist04z1
Social Security Administration (Off-Budget),TQ,19763.0,hist04z1
Other Independent Agencies (On-Budget),TQ,3297.0,hist04z1
Other Independent Agencies (Off-Budget),TQ,-726.0,hist04z1
Undistributed Offsetting Receipts,TQ,-4477.0,hist04z1
(On-budget),TQ,-4135.0,hist04z1
(Off-budget),TQ,-342.0,hist04z1
Total outlays,TQ,95975.0,hist04z1
Legislative Branch,1977,990.0,hist04z1
Judicial Branch,1977,393.0,hist04z1
Department of Agriculture,1977,23287.0,hist04z1
Department of Commerce,1977,2010.0,hist04z1
Department of Defense--Military Programs,1977,95147.0,hist04z1
Department of Education,1977,8717.0,hist04z1
Department of Energy,1977,5049.0,hist04z1
Department of Health and Human Services,1977,46493.0,hist04z1
Department of Homeland Security,1977,2755.0,hist04z1
Department of Housing and Urban Development,1977,5808.0,hist04z1
Department of the Interior,1977,3220.0,hist04z1
Department of Justice,1977,2220.0,hist04z1
Department of Labor,1977,23225.0,hist04z1
Department of State,1977,1449.0,hist04z1
Department of Transportation,1977,11978.0,hist04z1
Department of the Treasury,1977,48061.0,hist04z1
Department of Veterans Affairs,1977,18020.0,hist04z1
Corps of Engineers--Civil Works,1977,2271.0,hist04z1
Other Defense--Civil Programs,1977,8251.0,hist04z1
Environmental Protection Agency,1977,4365.0,hist04z1
Executive Office of the President,1977,74.0,hist04z1
General Services Administration,1977,70.0,hist04z1
International Assistance Programs,1977,3616.0,hist04z1
National Aeronautics and Space Administration,1977,4002.0,hist04z1
National Science Foundation,1977,753.0,hist04z1
Office of Personnel Management,1977,9633.0,hist04z1
Small Business Administration,1977,758.0,hist04z1
Social Security Administration (On-Budget),1977,6014.0,hist04z1
